(95.25,4,9)
(98,3,9)
(98,4,9)
(98,5,9)
(100,4,9)
(100,5,9)
(101.5999985,4,9)
(108,3,9)
(108,4,9)
(108,5,9)
(110,4,9)
(110,5,9)
(112,3,9)
(112,5,9)
(114.3000031,4,9)
(114.3000031,5,9)
(114.3000031,6,9)
(115,3,9)
(115,4,9)
(115,5,9)
(115,6,9)
(118,5,9)
(120,3,9)
(120,5,9)
(120.6500015,5,9)
(127,5,9)
(127,6,9)
(130,3,9)
(130,4,9)
(130,5,9)
(135,5,9)
(135,6,9)
(139.6999969,5,9)
(139.6999969,6,9)
(140,4,9)
(140,5,9)
(150,3,9)
(150,5,9)
(150,7,9)
(152.3999939,5,9)
(154.9499969,5,9)
(160,3,9)
(160,4,9)
(160,5,9)
(165.1000061,5,9)
(165.1000061,8,9)
(169.8999939,6,16)
(170,5,16)
(170,6,16)
(170,8,9)
(180,6,16)
(184.1499939,10,16)
(185,6,16)
(190,5,16)
(203.1999969,5,16)
(205,6,16)
(208,5,16)
(222.25,6,16)
(225,10,16)
(275,8,16)
(275,10,16)
(285.75,10,16)
(335,10,16)
